model_id,dataset_id,sigma,hamming_mean,hamming_ci_low,hamming_ci_high,recall_at_10_mean,recall_at_10_ci_low,recall_at_10_ci_high
BAAI/bge-large-en-v1.5,BEIR/msmarco,1.00e-07,0.000009,0.000008,0.000010,1.0000,1.0000,1.0000
BAAI/bge-large-en-v1.5,BEIR/msmarco,3.16e-07,0.000026,0.000024,0.000028,1.0000,1.0000,1.0000
BAAI/bge-large-en-v1.5,BEIR/msmarco,1.00e-06,0.000080,0.000076,0.000084,1.0000,1.0000,1.0000
BAAI/bge-large-en-v1.5,BEIR/msmarco,3.16e-06,0.000247,0.000241,0.000253,1.0000,1.0000,1.0000
BAAI/bge-large-en-v1.5,BEIR/msmarco,1.00e-05,0.000791,0.000780,0.000802,1.0000,1.0000,1.0000
BAAI/bge-large-en-v1.5,BEIR/msmarco,3.16e-05,0.002469,0.002451,0.002489,1.0000,1.0000,1.0000
BAAI/bge-large-en-v1.5,BEIR/msmarco,1.00e-04,0.007824,0.007790,0.007856,0.9977,0.9930,1.0000
BAAI/bge-large-en-v1.5,BEIR/msmarco,3.16e-04,0.024671,0.024614,0.024728,0.9977,0.9930,1.0000
BAAI/bge-large-en-v1.5,BEIR/msmarco,1.00e-03,0.076426,0.076318,0.076524,0.9814,0.9674,0.9930
BAAI/bge-large-en-v1.5,BEIR/msmarco,3.16e-03,0.226704,0.226552,0.226865,0.9535,0.9349,0.9698
BAAI/bge-large-en-v1.5,BEIR/msmarco,1.00e-02,0.580328,0.580135,0.580532,0.8186,0.7837,0.8512
BAAI/bge-m3,BEIR/msmarco,1.00e-07,0.000012,0.000005,0.000019,1.0000,1.0000,1.0000
BAAI/bge-m3,BEIR/msmarco,3.16e-07,0.000025,0.000014,0.000036,1.0000,1.0000,1.0000
BAAI/bge-m3,BEIR/msmarco,1.00e-06,0.000070,0.000052,0.000090,1.0000,1.0000,1.0000
BAAI/bge-m3,BEIR/msmarco,3.16e-06,0.000208,0.000175,0.000240,1.0000,1.0000,1.0000
BAAI/bge-m3,BEIR/msmarco,1.00e-05,0.000756,0.000698,0.000821,1.0000,1.0000,1.0000
